,Power [dBm],navg,fc [GHz],Qi,Qc,Q,error,Qi error,Qc error,fc error
0,-5.0,9.643022176878196e+17,5.704125205204096,11373526.512823962,214396.695950247,210430.15268583325,0.0010405609722504126,9849094.747510573,884.6100345271116,9.14886939540338e-08
1,-10.0,3.111307029687605e+17,5.704125615610163,24751725.22165108,214686.48204907973,212840.4244303044,0.00020450930818071209,6123374.0741050355,174.81186143448576,1.7545359831672158e-08
2,-15.0,9.827343264520226e+16,5.704125563693256,23176705.897832543,214646.22083375114,212676.5925341242,0.00022178901054703732,5855562.808136251,189.73841428678134,1.9056769495762182e-08
3,-20.0,3.0959964708104756e+16,5.704125395286705,19223456.59467273,214659.35134848554,212288.83060189363,0.0002488380232156988,4394350.067238715,213.44515498774126,2.147002042818258e-08
4,-25.0,9733527961265482.0,5.704125250662563,15202609.927382953,215553.63868863916,212540.12260251836,0.0005484881395015524,7258648.445434015,466.4415219264338,4.740395809221809e-08
5,-30.0,3050375300189032.5,5.704125461824356,11473550.815780446,215208.2531690696,211245.9680701994,0.00016474146817589122,933277.4889036622,143.0302949663601,1.4410150406263256e-08
6,-32.0,1916460078042267.2,5.704125562698062,10276761.005417112,215602.94262965402,211172.66477617432,0.00020444359179887985,939510.6947317626,178.27702819011756,1.7930401163823717e-08
7,-34.0,1203686338808348.8,5.704125666110164,9241377.912108406,215460.05453433873,210551.17733165913,0.00025984348624829656,959539.7662056144,221.86186792774242,2.2928520415632647e-08
8,-36.0,755243063203819.6,5.70412575240973,8226357.318997518,215354.8580253913,209861.17596994858,0.00018474730830058298,537067.8013405241,162.1968006817624,1.6415362402710798e-08
9,-38.0,473640896177382.4,5.704125835683038,7346721.649368031,215247.75301679573,209121.04757295348,0.000176418055827916,407730.01359468047,155.44836348548415,1.579292963072021e-08
10,-40.0,296802738905594.6,5.704125868316245,6552224.817000873,214885.65863961808,208062.56730990316,0.00018504384400494842,337297.01723091584,161.1181308060186,1.6554776216537448e-08
11,-42.0,185578571251329.44,5.704125907171983,5730010.45286325,214974.03735007372,207200.6681045249,0.00018800968750537974,262861.1097891014,164.83530672060442,1.698488549806143e-08
12,-44.0,116205540598689.3,5.704125922614598,5182850.004966954,215280.21175130646,206695.14588220968,0.0001778579429532815,203224.9630410839,156.91043130191974,1.61794737607579e-08
13,-46.0,72624362788994.94,5.704126008537773,4625867.219882437,214918.3890656441,205377.30219676168,0.00022115354795860576,204569.62991899252,196.2862815738481,2.0383782661781424e-08
14,-48.0,45323763338229.89,5.70412604008596,4115665.2679783353,214890.55776822293,204228.28664514743,0.00022993385616883245,167371.6957972236,205.5701846066222,2.14683577581809e-08
15,-50.0,28344831292175.32,5.704126002888272,3776643.8153537842,214957.32223323674,203381.69995288993,0.00027107631229953154,166580.93418212794,238.5047652614885,2.5538749781617298e-08
16,-52.0,17621767462016.273,5.704125920485916,3318097.4543907433,215079.28216774558,201986.5603871848,0.00025931270256948326,123800.98377337866,230.59864744442166,2.4842192303253796e-08
17,-54.0,10981620472817.658,5.704126085629763,3009806.1398851653,215102.17836310947,200755.60061417657,0.00030962434217337345,122317.06823978946,274.6490121818497,2.9770444776033855e-08
18,-56.0,6826043825941.409,5.704125980291993,2704434.5776164336,215495.27968602892,199591.70912258135,0.00034417073898161595,111334.56768917385,309.5834496835305,3.3594820258997515e-08
19,-58.0,4252745315958.255,5.7041258715943,2489182.305593963,215222.67918179854,198095.33430225705,0.0004085953203497606,114051.40466938773,370.8892272179073,4.0499763542811706e-08
20,-60.0,2645272777519.922,5.704125990848767,2282988.099622021,215570.70297881396,196972.56621105087,0.00040866266744013496,96730.07242242992,375.0343017661071,4.111968898712348e-08
21,-62.0,1637041080744.1743,5.704126188402017,2050568.1647642765,214969.642006188,194575.07189229754,0.00042679837077953277,83170.11616664217,396.42413192111417,4.405220987990788e-08
22,-64.0,1014774808315.301,5.704126166879111,1874470.979732968,215109.58369593183,192965.84834716536,0.0005013705656170846,82175.59297398897,464.84869604880805,5.22064125263455e-08
23,-66.0,625911041198.1005,5.704126223162213,1686893.6140715955,215085.45688439006,190765.3680801886,0.0005683511280344975,77340.53558717226,537.844826819899,6.078610148563257e-08
24,-68.0,385270841069.40045,5.704126383650204,1519175.7425412072,214662.53417306644,188088.4502158296,0.0005913946584327683,66834.96693286486,566.6782563069428,6.521266460168818e-08
25,-70.0,237592301425.18814,5.704126369997338,1389906.449913407,214891.2128699428,186116.84626506877,0.0006696410653756083,63962.608985271305,643.0522334502602,7.488237763197958e-08
26,-72.0,146737860685.87253,5.704126345858106,1286397.4725832883,215483.72243212862,184568.8154340223,0.0007485799886945688,62502.530488083605,731.707827364211,8.55615605033222e-08
27,-74.0,89669761261.16315,5.70412611956309,1155905.2154220706,214449.32837626917,180892.15127463502,0.0008155443877655927,56904.40184213105,811.0563693291333,9.708104453665101e-08
28,-76.0,54917084682.51814,5.70412629537064,1054735.330185202,213833.35921219699,177789.05158469497,0.0008771437927353547,52022.16194236814,877.2852315977507,1.072829798332009e-07
29,-78.0,33829724675.31274,5.704126242893775,984477.5316605542,214138.8583586136,175881.90121081393,0.0010349396425435957,54881.5060240709,1052.9014355662512,1.2999611520569943e-07
30,-80.0,20805457157.72263,5.704126326676104,918307.0811132557,214219.89076926783,173699.84087927378,0.0010694524692201255,50308.97666570346,1101.2751400608395,1.3779854590723062e-07
31,-82.0,12810813515.56336,5.704126685008025,862362.8419743327,214830.36620818503,171985.7288419495,0.0010971667525127306,46117.43541375769,1144.8781668149168,1.44182226158307e-07
32,-84.0,7847881861.281233,5.704126538237465,802420.9224003303,213671.85361755372,168742.52838724366,0.001228614145081782,45816.53144772712,1285.108380005724,1.661179567236104e-07
33,-86.0,4859120897.903125,5.704126422521431,767898.5502411322,214010.6340761051,167366.70812685986,0.0012927518023871304,45027.40395008563,1374.3059033646132,1.7839025723276336e-07
34,-88.0,3041665951.176485,5.7041264788145565,754162.0785969147,213608.183480233,166463.00816080894,0.0013192208154167151,44655.15538980113,1405.106940737518,1.8395984469066207e-07
35,-90.0,1861330627.4447513,5.704126318407802,705059.4293674813,210978.8379716736,162398.73474563283,0.0016917808980914523,52383.97766225878,1801.7304889791121,2.4431884781961344e-07
36,-91.0,1423609667.4379554,5.704126545136879,651682.2881573889,214738.14824691924,161516.5689166187,0.0016741429985371024,44941.087829314754,1859.1558773242286,2.491246942071257e-07
37,-93.0,883944609.9157162,5.704126661768344,631152.8042509861,213910.6276374136,159763.512955891,0.001881357337489553,48072.19499641622,2079.812641049939,2.8361736426063544e-07
38,-95.0,560994769.8168957,5.704126242216707,638487.6570875103,213983.21883591378,160270.72351622905,0.0019934395788390813,52014.21022614173,2193.8231002964603,2.986212104261199e-07
39,-100.0,164251099.61833885,5.70412631298981,552234.7207564099,216997.034049612,155797.51158563333,0.004370755933918442,96688.64578159829,5055.758774547547,6.986168896716549e-07
40,-105.0,51429821.63864204,5.7041258457779005,542620.5426546637,214940.65279225688,153958.58522064783,0.005404542503295894,121456.77890887554,6196.238747935917,8.734628726969618e-07
