,Power [dBm],navg,fc [GHz],Qi,Qc,Q,error,Qi error,Qc error,fc error
0,-35.0,503553343374434.44,4.914506429975973,322438.86693559244,380533.14932648913,204205.1615342744,0.00018785869997063332,1230.942094540922,752.6562733633909,3.216107913317501e-08
1,-37.0,313766371816580.6,4.91450646752233,318740.1207262327,379891.13190050656,202562.91284245666,0.0002005518578173146,1305.2467674093205,810.3982038271497,3.4916003421869846e-08
2,-39.0,195937939233171.88,4.914506516637981,315734.57050169347,380018.77295764996,201382.33070074688,0.0002129366511695602,1375.2301407296327,867.1570206705946,3.757410649285475e-08
3,-41.0,122456244949571.55,4.914506551292993,312999.9513664857,378779.3268549001,200076.90608672687,0.00018862329401865357,1208.4047362355632,769.545816925005,3.36606795769967e-08
4,-43.0,76206845883257.98,4.914506542007479,309103.51464985573,377900.55690778047,198412.0289131557,0.0001904948816805936,1209.5496612763382,783.9927986762486,3.461541453475547e-08
5,-45.0,47742730604166.86,4.914506430718626,307122.00864225114,377975.667719698,197529.05382826028,0.00020782277782826174,1315.4236662191106,860.288468168932,3.8121828360715426e-08
6,-47.0,29807187502944.016,4.914506434428341,304211.6599855259,377009.4434318037,196383.52900750784,0.00019598794277368568,1230.800097274885,816.9603598070098,3.640027479434593e-08
7,-49.0,18684498783025.836,4.914506493698709,302429.66892164125,378132.7326154831,195551.91778363445,0.00027930399026790983,1752.3565412480384,1172.8125303739798,5.2413497542147525e-08
8,-51.0,11708120630069.027,4.9145064132487075,300566.8519064924,378394.94278062193,194984.55497406953,0.0002799214512190699,1748.8789273648872,1185.6951113990508,5.295069982480527e-08
9,-53.0,7342085448503.659,4.914506515073197,298921.06556901324,379943.32409970136,194279.49849673006,0.00026827494116629506,1649.4025461875135,1126.2640446722507,5.069342545738209e-08
10,-55.0,4540358787303.37,4.914506510770031,293625.54229705717,379353.16868064244,192172.2552001818,0.0003055784878318374,1864.8544709410635,1310.1686812891276,5.9478741931684453e-08
11,-57.0,2813188261966.319,4.914506715475284,288953.46168041235,380314.832781055,190114.15650894766,0.0004014338622700868,2422.5268629991333,1744.017845150025,7.97594523760381e-08
12,-59.0,1741406087810.4233,4.914506782947718,284154.16580318846,380290.9014153278,188178.4844098893,0.00045377053041166217,2710.6000533155166,2005.9138883715495,9.237603482148415e-08
13,-61.0,1067204327713.8752,4.914506646975159,277053.21626096294,380416.24392161786,184856.81625880368,0.00044171574592478626,2566.7996920006117,1963.8188112020143,9.24992269446534e-08
14,-63.0,655620622267.3276,4.914506916029227,270765.244407163,380295.944385122,181888.27179136494,0.0004475637335648597,2565.7436938699684,2031.045631516201,9.710802029161414e-08
15,-65.0,401794930806.61304,4.9145072235389495,264134.06785750063,379883.4644925634,178714.47312749625,0.0005679554680752278,3185.1504065575427,2595.2635945705115,1.269910736567681e-07
16,-67.0,247873369160.74347,4.914507134901094,259165.28740381013,381775.48296857433,176634.99620050532,0.0005429821893935589,3017.343885746901,2546.6607024111436,1.2553585371222198e-07
17,-69.0,150093534837.68027,4.914507248090269,250415.890330914,380691.00920046004,172399.83069122708,0.0005950345817367643,3211.9490991967323,2834.5811845990247,1.4356905531087705e-07
18,-71.0,92166708118.93846,4.914507249108121,244868.26542256222,380431.86270632216,169917.34700658266,0.000771611711996731,4099.4362983460305,3746.4973194692866,1.914672687064467e-07
19,-73.0,55292635313.811646,4.91450731562471,235003.35799257652,381865.03585130087,165127.36244696207,0.0007444705687665599,3823.0179246363987,3718.0137033535866,1.9571132181539497e-07
20,-75.0,33294318058.70367,4.914507213327025,226346.8826736486,377843.3549868355,160033.68836132422,0.0009181870692491601,4595.489201532357,4615.028462083486,2.5435868078460544e-07
21,-77.0,20785551596.637913,4.914507220272239,224442.64889600375,384670.3320936058,160144.57497295248,0.0008772551922236118,4371.344307200401,4585.750670446141,2.4702009771004896e-07
22,-79.0,12401229087.34299,4.914507275265022,214757.26300251234,381800.6513038339,154706.0417037907,0.0010886328463102478,5237.579987255682,5750.133999315556,3.250035573998389e-07
23,-81.0,7601465470.932451,4.914507179458507,209970.18069514312,380975.35937340464,152207.78947871493,0.001023860895541552,4830.9237116147415,5466.156623606861,3.1522821419827096e-07
24,-83.0,4692310622.490243,4.914506932965783,206443.20356694976,379755.48332871293,150671.91241046754,0.0012954786073508223,6086.045349386259,7075.677186618035,4.078936255424992e-07
25,-85.0,2858551224.828001,4.914507311015319,200956.16579668538,382632.90576023154,147406.3410086021,0.001352001567427917,6242.311758019554,7500.511925129918,4.4305582402870414e-07
26,-87.0,1796170468.6444142,4.914507240605713,200321.703924344,382359.49768058414,147324.41100374097,0.001509407254332547,6866.993524591526,8304.34731447522,4.930815862280724e-07
27,-89.0,1106762942.6504939,4.914506843633588,196741.78861092735,379115.7637006415,145220.9969427723,0.001539639465403244,6941.222387360816,8546.317775173171,5.158643991975964e-07
28,-91.0,698535481.386386,4.914507054920578,196787.79256778772,385901.59135054384,145631.35435386514,0.0016761574391250833,7635.945698681375,9547.255069340696,5.66060936790791e-07
29,-93.0,416179462.54641706,4.914507186356517,188469.59083612764,375000.4208421657,139202.04186704117,0.0018338596923788064,8134.699929788243,10166.053235348489,6.535678478414297e-07
