,Power [dBm],navg,fc [GHz],Qi,Qc,Q,error,Qi error,Qc error,fc error
0,-15.0,3.363086576925969e+16,6.8438851662128,584949.1143785706,175033.00104823709,213190.2121225528,0.00046339348487761596,6010.177687138668,517.7355305792589,5.5108970720141315e-08
1,-20.0,1.0674141908055532e+16,6.843885045175066,589645.91271893,174772.61986721496,213028.1990624201,0.0002678454829245452,3524.2246098368196,297.68984048246057,3.1791183019436176e-08
2,-25.0,3317418621752430.5,6.843885054142257,568031.082200519,175654.58086736398,210572.728766947,0.0004221159435848158,5309.340070966864,481.6917488487088,5.1656247279652234e-08
3,-30.0,1027720332611296.2,6.843885305158997,544170.3169541154,176409.7615910317,207280.15611378007,0.0005168162824201659,5997.207967958879,584.9234618327464,6.420555553887652e-08
4,-35.0,316079029726620.4,6.8438853981322065,514561.6608856054,175499.04056556197,202796.76399593076,0.0008800238021984254,9576.31427784625,1022.1796556046465,1.1458346005355224e-07
5,-40.0,100187829701031.81,6.843885456848452,516950.29388673045,176633.91006016688,203738.31907958206,0.0004355882158338438,4717.112048282172,507.8152357224608,5.641487810237322e-08
6,-45.0,30799130330568.12,6.8438855868167625,489409.1903293389,175533.59734035155,198807.44208124952,0.0006437032320576797,6555.04320729716,768.5023992852948,8.765397474519432e-08
7,-50.0,9478347901507.332,6.843885575605958,465240.6126363759,175903.3429383995,194635.49868211846,0.0004919597122138184,4587.416708996752,586.6784559915541,6.889070380822204e-08
8,-55.0,2910285377571.9243,6.843885469325606,441282.02184243646,176016.9262482269,190050.19151291586,0.0005424113846760126,4771.161162953998,667.9490916255745,8.003708895643058e-08
9,-60.0,889968161176.5194,6.843885529104687,416489.95123184513,177528.41869291844,186224.05436994584,0.0008233447693492869,6780.810540813545,1060.099817485694,1.2833095386355353e-07
10,-65.0,268826632422.73575,6.8438855494170205,386236.4096155685,176884.45825339452,179494.19879991643,0.0011016347452397553,8249.1227697297,1445.1150355320424,1.8282295410898541e-07
11,-70.0,80596522052.06367,6.8438855468066375,355442.051632015,175789.9810167909,171085.14345753528,0.0014312375176086095,9900.481475043984,1946.3445932158502,2.6089216653701897e-07
12,-75.0,24265686174.94919,6.843885362490355,330544.02468717395,174549.73831857918,164910.14069157685,0.0016083172488284888,10103.04962006904,2219.6660719413776,3.1193040950228124e-07
13,-80.0,7432009721.674416,6.843885211900887,315841.7153626032,178076.50755202968,162215.05550578792,0.002248725479662223,13460.129534842214,3230.6180344226013,4.5599299802745463e-07
14,-85.0,2207332800.5693393,6.843884819470118,289938.58417065884,174989.85214938776,153773.187206777,0.002869574232248941,16043.546339459135,4277.092916270805,6.389803859363496e-07
15,-90.0,696343156.8964466,6.8438854334951715,289014.7717228949,174095.95832412064,151389.27732500178,0.0035248415891693187,20180.557446888823,5172.404332073638,8.004034155462136e-07
16,-95.0,223036243.71711254,6.843885930859844,293980.92301606317,177081.8261168096,153199.04817342892,0.004041971369480343,23533.187570900132,5876.9206631954585,8.910688427121727e-07
