,Power [dBm],navg,fc [GHz],Qi,Qc,Q,error,Qi error,Qc error,fc error
0,-25.0,2.75781997719548e+16,4.902203734017506,3085052.110891896,634010.5922472843,572388.2527136714,0.002166629194710262,346831.33734725043,6545.167737557436,6.859451140428519e-08
1,-27.0,1.691056061183043e+16,4.902203512728128,2844947.160848582,630394.7497085175,561300.7814350699,0.0010462373089302382,137817.50443306472,3185.1444816690637,3.4217807254322e-08
2,-29.0,1.0277008931998214e+16,4.9022033669113805,2577202.376283375,638718.7365479749,555284.5205984012,0.0013399202881360997,149947.63643226447,4229.47948074108,4.551113352846414e-08
3,-31.0,6355047484226998.0,4.902203360915552,2451516.237781017,638299.7188544747,550638.0265170474,0.0015732731901736685,161484.46664344333,4981.676711376058,5.4057878173807694e-08
4,-33.0,4038787385224373.0,4.902203433937892,2495227.577954092,648084.8964181059,559456.052841767,0.0014556858504067678,150784.4713405189,4649.19350652385,4.8901384275268356e-08
5,-35.0,2478204847290370.5,4.902203424485388,2333477.8868337134,623796.4014825369,533323.3007065959,0.0020736104971088793,206004.01627210062,6534.477180213085,7.45347197295132e-08
6,-37.0,1526178883173395.5,4.902203297201436,2207439.2725559864,643170.6627504209,538543.4688935104,0.0016575359426653816,142159.55571005074,5390.0524005789775,5.961039128976608e-08
7,-39.0,929685051919854.1,4.902203091024154,2044902.3004234044,630638.4080780875,521689.40732103895,0.0020240289672497124,158452.00703855534,6622.250135259004,7.664600421009027e-08
8,-41.0,553015028450344.8,4.902202621270652,1815460.9547873512,596780.6951222231,483017.00432428054,0.0022635644078296824,155338.18101485586,7221.034880680847,9.525846778046798e-08
9,-43.0,358834232101597.2,4.902202617408007,1918477.4155345447,657599.8487749071,530168.5488649566,0.002298302559656578,156473.3410089945,7942.615080034477,8.700865361532806e-08
10,-45.0,218665974725543.9,4.902203022736032,1791863.2723149846,637286.8817715273,504879.1948378307,0.0024603511171767505,157101.03419484594,8376.356509631616,9.950327228835931e-08
11,-47.0,133210137403656.75,4.902202800101589,1678176.8152689256,637071.6946737688,495133.3830273529,0.002706841523036137,157005.15329829976,9382.815748856054,1.1378504272130385e-07
12,-49.0,81480120573572.23,4.90220253904656,1587583.6773551437,643944.9062926141,489204.2322141483,0.003138929727787729,171530.14246910997,11388.325566511252,1.3729323544708905e-07
13,-51.0,47968522396439.97,4.902202396922481,1413022.538652129,615076.8612216645,459356.87585438247,0.0032164095783556107,149450.88412411232,11430.09485780634,1.5315322876574555e-07
14,-53.0,29515521027743.25,4.902202323547609,1357638.0242463662,632861.2603725655,459496.5739870232,0.003653860218602316,160259.50332284626,13557.433889621869,1.7704177590616155e-07
15,-55.0,17627937474993.914,4.902202276740047,1248463.122778384,627445.0978901179,444655.56244181003,0.004113094236581158,161380.3556276129,15563.913727411418,2.1257278071118435e-07
16,-57.0,10443205921754.889,4.9022021196854615,1140105.223214298,614850.251095609,424392.2856877821,0.004769771708308554,174151.7113569819,18610.33484639402,2.7267218616344735e-07
17,-59.0,5992198912255.193,4.902201966690107,1003535.2047662855,605081.4352058439,400655.6509679847,0.005427945050771101,165185.55422616587,21439.43139673106,3.3374251362516816e-07
18,-61.0,3688562178210.8076,4.902201629547595,972321.7751145392,588635.6314918665,390153.043801776,0.005644125095445081,168611.73452415096,21985.977996300324,3.6441838613399113e-07
19,-63.0,2112904466180.7046,4.902201690786789,863939.4573751884,588868.9968983469,365858.0823731314,0.005602292990540692,141906.91598258424,22166.580545090022,3.949305629191713e-07
20,-65.0,1202650892069.791,4.902201343293716,768023.1141781572,547475.4293376728,337612.8628163337,0.0064504052555266105,141414.70676636288,24232.321309478488,5.023471691956161e-07
21,-67.0,752969896110.6205,4.902200973993411,761492.602745965,557558.5381916421,334518.09634930134,0.00758353952953318,183045.1431244103,30399.23146625678,6.25679297705517e-07
22,-69.0,454425343235.63495,4.902200145538039,725580.5967761619,555795.1785057184,334754.7759786135,0.008321601945092502,177280.9360767107,33394.83177247131,6.774995604530432e-07
23,-71.0,303343899821.1501,4.902199805723359,771546.7574257981,538459.9006895946,333581.94716780836,0.008620850457986294,215386.26981639978,32464.761870889226,4.54985501718852e-07
24,-73.0,192000653092.00223,4.9021999861026275,774246.881557549,548349.3118780954,335292.4993610711,0.00982573462277535,253333.91090634512,37205.184304980794,4.970488891586911e-07
25,-75.0,97620505970.94875,4.902200244932201,617820.4823557535,503587.1631681315,290148.53133156337,0.009806135977206257,185526.46553136618,35806.22001831129,6.126110783100103e-07
26,-76.0,83121743675.49814,4.90220024760019,662479.8991528554,560904.4054676358,314815.7155608358,0.007392848291300731,139705.83885043894,30345.438717394834,6.663779394955327e-07
27,-77.0,62571592896.48286,4.902199475818595,627533.9938321384,493297.3686142251,293349.45688305504,0.012042643183904939,274935.83303099836,47313.60221093864,7.810304101241172e-07
28,-78.0,50968551470.592094,4.902200337469848,643539.2656823393,537280.7814727472,300394.51196533523,0.007513109648057185,142792.5899127206,29109.551200951915,4.653635699014558e-07
