,Power [dBm],navg,fc [GHz],Qi,Qc,Q,error,Qi error,Qc error,fc error
0,0.0,7.759155152433694e+18,4.487545753407345,1321212.1317398818,1030755.9744650522,611345.5867415605,0.021771290736735803,764141.0169403338,64502.258087403025,9.301049770371606e-07
1,-5.0,3.159510943065637e+18,4.4875486115713095,1812290.3120950358,1014111.6051943398,681123.7992552131,0.013783794193789391,1194121.8195750024,87227.68673624448,4.575552017271889e-07
2,-10.0,1.1983116391269445e+18,4.4875500971938145,2383494.8582453793,941428.1520504046,700162.7862885998,0.007686081266909408,910372.8368337303,44292.97835451539,2.2876603278376706e-07
3,-15.0,4.378725648020117e+17,4.4875507114252144,3099302.7308503455,946381.4917493251,753362.0398272991,0.0033731937928772352,550718.5318272053,19399.859145458206,9.091126251803416e-08
4,-20.0,1.525818059782232e+17,4.487550935784952,3825443.8178488472,945547.469328169,788746.211002816,0.00166210050097957,352468.1517878603,8939.802811019355,4.037506329268581e-08
5,-25.0,5.1036816379260616e+16,4.4875508879942885,4399109.082196318,945152.9695030652,809386.7061015988,0.0006858381972781769,174820.40281908866,3551.8769539617933,1.5679297860060615e-08
6,-30.0,1.6234382117010826e+16,4.487550857035842,4468168.549701442,943903.6347142467,810391.7691189235,0.0017017910447339809,475120.8026274331,8795.555570828845,3.871251852416435e-08
7,-35.0,5004648608307601.0,4.4875507666937855,4182198.0963686863,943026.5226176529,799962.9934345305,0.0008605002049445576,204243.76014839765,4506.033111728611,2.0119852450761755e-08
8,-40.0,1530130466634340.2,4.487551098745929,3851028.7954049786,949287.18135696,790300.1197184781,0.006331449977096521,1849402.632405322,34638.878127269214,1.5313941048589186e-07
9,-45.0,464828952548029.25,4.48755117172989,3513618.453277509,914594.3963912673,752919.7244503761,0.0017736211345984248,343298.5092589259,9534.411037701415,4.617364890435738e-08
10,-50.0,139922792006636.78,4.4875511150636305,3165434.4984191493,931337.7738039785,745894.014061716,0.0010834438371652095,168424.99070075387,6125.438524791156,2.9362829501167198e-08
11,-55.0,40448392154833.516,4.487551180616265,2666994.9274569233,933083.259173889,714563.2096541043,0.001497115393348163,166176.4223729223,8174.139461180428,4.204392833884185e-08
12,-60.0,11352183961067.693,4.487551329572308,2185082.573277671,939368.561956007,676301.6297477726,0.0016888386631814937,140671.04346211953,10062.88127228932,5.3976815017620083e-08
13,-65.0,3015541420225.2964,4.487551606569902,1701562.1725850708,951742.6961495876,625647.2144005401,0.0014966892970018054,88029.64782483596,10223.310420490569,5.8169988825795826e-08
14,-70.0,667463029359.6096,4.487551742040042,1121188.1813835222,888372.6296150504,506517.13092443795,0.002015933863919735,65840.13198864623,13894.266676883562,1.0724144505758204e-07
15,-75.0,196433430340.01532,4.487551852059389,1041624.0777893965,969382.119294093,511801.26976578333,0.0017973150545411445,52193.78198136506,14510.188420236344,1.0138969130935038e-07
16,-80.0,47813327630.44573,4.487552456148988,813071.2832811731,926735.5215329609,440983.0301756731,0.0020898602586744224,46349.88112914725,17999.90819904057,1.5262475283606136e-07
17,-85.0,12796360391.27251,4.487552384204906,703571.508614376,946759.2371109986,411579.7069893129,0.0033003170360677994,63365.82191970677,31558.182651087875,2.7941312463752865e-07
18,-90.0,3808791141.1164403,4.487552345793341,668969.3768436076,947196.8687527906,399233.28676558577,0.0034368887637343986,61148.727587097674,32763.448618304683,3.0283165308730986e-07
