,Power [dBm],navg,fc [GHz],Qi,Qc,Q,error,Qi error,Qc error,fc error
0,0.0,8.440106046336243e+18,4.9020624681052105,4119877.546011964,540158.8280723322,603283.07539413,0.0014622254979625884,350139.7165198196,3624.7496225052746,3.884142074639385e-08
1,-5.0,2.7623198774213637e+18,4.902062281495486,4829782.594793432,542365.9598406669,618901.2942149268,0.0011433015859302472,366610.676727782,2846.8471154093277,2.9319320304921348e-08
2,-10.0,8.655779374546006e+17,4.902062195696314,4619515.538767749,543485.1709509885,615261.6764616201,0.0006815737522318273,191908.8430160284,1674.2908994557802,1.7417123743257434e-08
3,-15.0,2.6296339438044093e+17,4.902062171761348,3870870.582557577,553081.3308902188,597232.6555093905,0.0013455611177762583,292784.75144684874,3482.7054289849475,3.697982986494708e-08
4,-20.0,7.98671636636728e+16,4.902061951348744,3318485.7781541673,559603.9681489666,588596.1208487509,0.0020911956769980103,355229.2916252101,5648.025368792587,6.013066577992277e-08
5,-25.0,2.388971388147609e+16,4.902061504390735,2762031.4029829055,566398.4231278641,576277.7492931659,0.002538990172299898,307999.7965162606,7108.243283380056,7.644964394870613e-08
6,-30.0,6947413486950406.0,4.9020613780550075,2189399.190504074,562158.3055439405,544680.3149098636,0.0030495648107730557,253654.11682901345,8927.02843477379,1.0220435431307351e-07
7,-35.0,1921771427280707.8,4.902060909919454,1622129.4569752316,529466.051444153,484191.2607200004,0.004558011388210356,256225.15322425263,13808.73134450079,1.8563063619581044e-07
8,-40.0,595578294905027.0,4.902061010250508,1558855.8357015497,545371.0107723965,493675.04453134,0.0023962856226919147,113973.18768680375,7628.981903390377,9.762838804050489e-08
9,-45.0,169422601019479.7,4.902061244987353,1287044.8657975693,551256.9013205108,460581.66610476037,0.0019454303314447989,68272.61444358341,6509.845965235261,8.965759334955692e-08
10,-50.0,46221251186777.164,4.902061542633762,1022110.1926680887,551132.3170373252,422046.81627657125,0.0019233579082612309,48922.00356028578,7045.585706931888,1.0541751471748739e-07
11,-55.0,12945911324180.69,4.902061404902525,865501.118788159,551710.3169314201,389457.79101489985,0.002607529611245122,55743.96196951566,10401.216751877102,1.689989188591312e-07
12,-60.0,3237349052919.846,4.902061539110853,653667.7434778701,552246.6251778639,340983.4917680827,0.0028922492348000387,43749.86787331151,13094.194532433059,2.463709396494096e-07
13,-65.0,845326219952.9869,4.902061258738732,534882.4770283264,526995.4102899848,303709.1202296045,0.003728344270277772,45523.17930193967,17998.676266307593,3.8489179310374766e-07
14,-70.0,252432160165.04407,4.902061687577674,505640.2694827516,545105.7674814545,293942.8492272606,0.0046083740840656565,54887.94338638324,23717.88627710112,5.13643301225386e-07
15,-75.0,70990137592.59114,4.902061586365259,452694.3779707843,536093.519770176,272369.4671675465,0.005894545358681972,64269.96976881259,31205.68005841016,7.466726117399958e-07
16,-80.0,20452195897.925087,4.902061354750647,416216.6570086636,513834.75433290127,257841.33860859877,0.0089352573570644,96440.5832064731,48921.01380340371,1.2437933429865211e-06
17,-85.0,5847052025.325948,4.902061541009708,381297.9907084562,464679.64292294625,228966.90896132472,0.009551643520721869,101336.88851124793,45617.85858227592,9.895721735375673e-07
18,-90.0,1881499632.4231513,4.902061887976906,387024.91918543493,450996.9407527586,232011.27291731926,0.01166573226291003,178943.94539665536,46748.93689594639,1.662262399726444e-06
19,-95.0,608703832.387574,4.902063094412357,394704.6789798761,462535.12034875643,233903.3799342845,0.013606132174955573,191688.49522515372,59928.50808353606,1.3435750272350333e-06
20,-97.0,395418425.7993698,4.90206353123815,404835.68591993337,330418.38426909264,196461.103993495,0.0189959100201576,226009.64923085313,24286.64989446517,1.7680477331083466e-06
