,Power [dBm],navg,fc [GHz],Qi,Qc,Q,error,Qi error,Qc error,fc error
0,0.0,1.9037420452200938e+17,6.590572258943178,565857.9809046772,18347.487161372253,90661.81955377434,0.0029893765386282173,45434.34758681746,272.71145799566875,3.534974899466192e-07
1,-5.0,6.051060526446709e+16,6.590573371915822,616001.83282952,18288.448092605984,91944.28366733594,0.0013629790134484178,23041.10182780365,122.09436450825888,1.5592072166725757e-07
2,-10.0,1.9192189024117276e+16,6.5905736212217025,649400.6230472599,18214.70967244268,92411.8663827942,0.0007960042948740686,14581.730993724312,70.3295955243957,8.970469966840255e-08
3,-15.0,6074120370850166.0,6.590573598519249,659312.9357920119,18252.40466887625,92830.15085909952,0.0004958265265010655,9210.1586875621,43.63277881555405,5.5455035230522753e-08
4,-20.0,1917910295023902.5,6.590573249095083,641437.7895021308,18269.193463458967,92677.04734532915,0.0008156483996988124,14553.864079480874,72.50244850556192,9.174839821213254e-08
5,-25.0,605342641246191.2,6.590572998947365,620192.5021467968,18263.93215156374,92242.69684581312,0.0012435641661749678,21160.577427937766,111.3151155771775,1.4138044068801037e-07
6,-30.0,190884275989089.78,6.590572698317365,591018.0037699381,18276.59828647902,91693.61622905123,0.0014763930651408015,23201.126676519052,133.6100396265174,1.703420977605674e-07
7,-35.0,60115156477133.72,6.590572460528403,553196.6822395874,18193.060408639405,90590.36563369473,0.001267357002953819,17678.81494742271,115.8258560826871,1.49793548231969e-07
8,-40.0,18986997016644.406,6.590574706860745,542918.5920306295,18268.220260602222,90515.40940530972,0.0011665140695949628,15664.221046661842,107.31553309134324,1.3836655288201882e-07
9,-45.0,5978746837447.6,6.590575420448134,509740.7368362704,18257.04549711012,89423.44131012876,0.0014749847198446333,17958.897742135392,137.6712892924188,1.7957705455984296e-07
10,-50.0,1883302540062.8386,6.590575902380708,482682.1791987247,18280.871798495147,88666.05216640737,0.0010834417078200572,11903.975069176347,102.56347978734266,1.3466749848589643e-07
11,-55.0,591440591621.7262,6.590576313791429,440900.78383856476,18250.873340460366,86963.99885360361,0.0015349183463588508,14691.215770099661,148.56900363515888,1.989279061476168e-07
12,-60.0,186128467540.0784,6.590576852185972,415731.6998037602,18341.367732908566,85459.55661918172,0.0023293051758291774,20845.564441222174,230.3894593041623,3.143752911327624e-07
13,-65.0,58413864054.29922,6.590576277796286,381415.28287524555,18338.174578996677,83682.63218025536,0.0022367519707985205,17382.354218277265,226.1005380872666,3.1548439594075717e-07
14,-70.0,18248287098.10607,6.590576192725012,336582.3680388852,18278.31471288177,81235.31813528926,0.0031953531250024933,19799.030789237586,318.09210433776025,4.65201615895694e-07
15,-75.0,5650546929.777891,6.59057629911369,279449.3229622132,18228.758974723016,77605.62972855977,0.004189108590581737,19614.19840439933,443.1161516448119,6.720438658902594e-07
16,-80.0,1755952332.3129873,6.590575331325494,244654.1763487793,18843.309319374803,75752.09943384085,0.00547351666619877,20334.054122683243,601.5973523938374,9.243987522111752e-07
17,-85.0,553589242.4762805,6.590574269391043,239414.653378784,19192.56417646716,71984.63382703108,0.006746726153398563,27007.83636482779,755.2927400623521,1.2405680056559731e-06
18,-90.0,172612442.28460327,6.590575866367267,217795.3468001587,18662.950297283704,72257.61616423928,0.008846928982127385,29447.348430354643,1009.9686461930032,1.634763220792479e-06
19,-95.0,54712749.06907658,6.590576209675211,221123.833075765,18950.93178432327,73162.575928046,0.00993606241355868,34401.9047859328,1152.8996754595282,1.808936739067235e-06
